id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
2034,0.1061537,0.20611404,0.31405059,0.01434599,-0.035962578,-0.43528754,0.23270299,-0.18223296,-0.18415275,0.26633528,0.18639113,0.067249134,-0.053516258,0.13650267,-0.10721142,0.005089507,-0.19067189,0.36585617,-0.054960262,0.0014005761,0.35453498,0.19393636,-0.2379684,-0.019688254,-0.19033588,0.10603421,-0.65390575,0.049005345,-0.24396369,0.18274112,-0.23155984,0.29801852,0.3648363,-0.21184564,0.14981106,-0.118038,0.34696838,-0.20813027,0.1236977,0.26818365,-0.1860161,0.32744282,-0.1634425,-0.2374224,0.37411293,-0.0390139,0.080948256,-0.23474051,-0.057238776,0.36549526,0.24185549,0.38728422,0.05686079,0.06268277,-0.041965574,0.4087344,0.13720885,-0.045104932,0.01206629,0.31810185,0.024566356,0.040724773,0.07503317,0.024662998,-0.0031022076,-0.07074166,0.023217615,-0.21609378,0.021775134,0.03898365,0.09459793,0.20903477,-0.21409304,0.24622385,0.39824754,-0.16207507,-0.008100933,-0.00291845,-0.0981279,0.031000055,0.09071062,-0.10106053,0.14584313,0.34297687,-0.1547143,0.39474168,0.19036639,-0.34986335,0.37099218,0.018341037,-0.12861413,-0.09021196,-0.28663164,-0.123095244,0.28997853,-0.14483647,-0.48658413,-0.096467316,-0.38444373,0.12458624,-0.35334757,0.06436693,0.24363686,-0.16355136,-0.14210624,-0.16744167,0.20443937,0.21615906,0.13280505,-0.14058076,0.06976751,0.049342774,0.081380635,0.4972374,-0.29990977,-0.17355506,-0.22972788,0.22163558,0.07042403,0.3346701,0.06260489,-0.26624516,-0.41733152,0.094803326,-0.08264971,-0.2442914,-0.26481715,-0.02864771
1939,0.043765824,-0.044828836,0.2624699,-0.04126047,0.08320415,-0.49386287,0.0804319,0.23626451,-0.049986728,0.15534915,0.2855945,0.05840228,0.105868936,-0.18882588,-0.47129828,-0.2190426,-0.10414743,0.33505097,-0.054655556,0.12691543,0.4276465,0.17302877,0.16497676,-0.06865816,-0.03755211,0.0676999,-0.28351986,0.08811472,-0.2859716,0.1781922,-0.136026,0.18223017,-0.013622093,0.05942537,-0.30785844,0.10609948,0.038494375,-0.24659887,0.25510952,0.12654184,-0.07681983,0.30291718,-0.19734547,-0.51216274,0.49051383,0.017793585,-0.15479723,-0.3607048,0.16379099,0.16887914,0.27303392,0.1820875,-0.40653434,0.31989115,0.24101254,0.019350242,0.19991398,-0.09364489,0.1526279,0.09807476,0.04833451,-0.33843482,0.13775581,-0.090655126,0.2512186,-0.037304074,0.27724653,-0.29831716,-0.22345546,-0.16460714,0.18316847,0.28580406,0.024959872,0.33210778,0.31905496,-0.29428703,-0.005015305,-0.10706577,-0.009977576,0.26267982,0.026931582,0.24776343,0.2982289,0.10765251,-0.035404284,0.2437912,-0.16661036,-0.38993916,0.37180367,0.16491383,-0.12959942,-0.06887902,-0.46940473,-0.19929186,0.10870804,-0.10524803,-0.2768291,-0.09467092,-0.040908977,0.27329335,-0.36181945,0.5710577,0.33841863,-0.4285133,-0.12706786,-0.3314749,0.018494178,-0.11809913,0.10548463,-0.14664257,-0.11203252,0.41549197,0.12881874,0.39106786,0.16277537,0.006976134,0.018516703,0.043410216,-0.13539632,0.23482616,-0.11996033,-0.16433297,-0.3989721,0.113590434,-0.16364083,-0.103086166,-0.26106295,-0.06272005
2263,-0.07209813,-0.1063011,0.41326606,-0.20232755,0.08843476,-0.34842405,0.10892828,0.09995147,-0.25981614,0.22728191,0.39905033,0.087694846,-0.027736241,-0.19127032,-0.5696349,-0.09913668,-0.074619465,0.39399338,-0.6123221,0.3745048,0.23719409,0.53317374,0.09515054,0.14343335,-0.07370646,-0.023115363,-0.453176,-0.13531065,-0.30631635,0.24384762,-0.47518507,0.15801713,0.072153285,-0.13331598,-0.36967108,-0.08958967,0.3572624,-0.58018076,0.038879637,0.33185586,0.03230862,0.11352979,-0.38588148,-0.22248966,0.30711567,-0.026810419,0.05811656,-0.080199264,0.0190305,0.21911214,0.31622782,0.40848848,-0.22792879,0.3473099,0.14147177,0.067873724,0.500522,-0.059991706,0.07138971,0.18857646,-0.012804634,-0.6618716,0.461045,-0.004620098,-0.053281184,-0.19562268,0.3654997,0.06564718,-0.07403177,-0.21934623,0.048781488,-0.027667211,-0.4235603,0.081721105,0.39245442,-0.43843272,-0.16615216,-0.2982788,-0.100263156,0.2107099,-0.20889509,0.060708147,0.36770874,0.1314489,0.0400083,0.5358806,0.16131683,-0.3434578,0.24191959,0.20073573,-0.19223775,-0.02816328,-0.41856265,-0.2749131,0.35510796,-0.3544204,-0.6176607,-0.15748417,-0.30756074,0.09101737,-0.6575273,0.08972799,0.31059211,-0.44023502,-0.0034873574,-0.018871829,-0.11176113,0.03671461,0.17368378,0.06509842,-0.04427994,0.1143889,0.062351886,0.19094275,-0.07069438,0.058289573,-0.017276471,0.28320855,-0.028768081,0.18268387,0.027170552,-0.17274857,-0.44844452,0.03522096,0.041719694,-0.054710187,-0.22619744,-0.09085663
1976,0.023074757,-0.10500719,0.47428322,-0.08598681,0.013048912,-0.25837418,0.19172429,-0.031558573,-0.32198408,0.10564428,0.33750993,-0.06701046,-0.14671877,-0.15255076,-0.37564632,-0.14533344,-0.0854249,0.46840766,-0.46653014,0.39168644,0.37557426,0.46736354,-0.0062393127,0.15305755,-0.04644159,-0.012036013,-0.33734053,-0.16514659,-0.13118884,0.2510426,-0.4151216,0.08025813,0.02387335,-0.15194678,-0.43304434,-0.12523787,0.3312063,-0.40876344,0.019743182,0.43894383,-0.15265124,0.28245032,-0.27164072,-0.14122349,0.25184074,0.038636062,0.13453068,-0.14593723,0.010984356,0.20130041,0.14565288,0.26919442,-0.1715501,0.35470623,0.24868476,0.064609095,0.29314193,-0.08329244,-0.016040869,0.1446239,0.049930125,-0.48817265,0.2716711,0.031998347,0.11345217,-0.14597146,0.32385632,0.088371344,-0.08768274,-0.211643,0.03694737,0.10947694,-0.3634511,0.14886878,0.42018297,-0.2749417,-0.14560004,-0.33130544,0.0017282438,0.119853005,-0.08767769,0.038630012,0.40145224,0.14875124,0.0014269572,0.3541191,0.13777032,-0.4353017,0.3274188,0.16367069,-0.20089737,-0.036317863,-0.18556273,-0.21397246,0.3205746,-0.17337093,-0.5005464,-0.128505,-0.1487675,-0.06924683,-0.6346057,0.121316284,0.2848883,-0.20468277,-0.037880845,0.018584164,0.022231251,-0.041376345,0.19196486,-0.030243512,0.17804408,0.08629101,-0.11468627,0.29219818,-0.121934466,-0.010442957,0.04763102,0.25403777,-0.22101407,0.15042377,0.12833591,-0.19581188,-0.39608774,0.13074832,0.057093136,-0.051857788,-0.17511748,-0.16079861
2234,0.13608202,0.044659536,0.45875216,0.20168532,0.07588283,-0.30488956,0.30747452,-0.3709238,-0.39020228,0.36052758,0.33090696,0.11999347,-0.31654552,0.18341047,0.2239233,-0.056145515,-0.24484774,0.720174,-0.10437219,0.2405828,0.4440164,0.20730437,-0.40001854,-0.07723047,-0.34621406,0.23948936,-0.7189302,0.18377218,-0.22638835,0.19504605,-0.32935318,0.29532152,0.23711683,-0.26666307,0.046958275,-0.21426846,0.4818445,0.055467084,0.017873451,0.44026265,-0.29278204,0.58735657,0.029710189,0.040499546,0.44225848,0.11582978,-0.09153125,-0.122144125,-0.11386208,0.21688262,0.16371551,0.34792888,0.2864896,0.2879417,0.022231199,0.5458317,0.116747595,0.163336,-0.12657349,0.48515347,-0.011240549,-0.014341724,0.25058886,0.15384063,-0.14526066,-0.07838436,-0.091080464,-0.25470296,-0.212687,-0.07398106,-0.03061709,0.054918624,-0.35746783,0.09046757,0.43852735,-0.26128873,0.011885293,-0.021093082,-0.3151158,0.11531587,0.24518594,-0.16491723,0.24173681,0.46843076,-0.2558053,0.37994406,0.45766577,-0.36865953,0.487681,0.26857522,-0.19120686,-0.21141376,-0.23595957,-0.03296908,0.593992,-0.1327301,-0.5648755,-0.4571736,-0.49744737,0.17862728,-0.5948396,0.10138803,0.2245151,-0.117715456,-0.09112713,-0.015630692,0.3469643,0.24926452,0.21917327,-0.32497957,0.26252967,-0.11969403,0.15567377,0.48369855,-0.31971195,-0.061826475,0.16468002,0.22624975,0.025452519,0.3137142,0.29552063,-0.13198854,-0.4509433,0.3745368,-0.13690571,-0.15315385,-0.27148792,0.075533174
804,0.117871106,0.26225105,0.41004285,0.049051378,-0.07285904,-0.43666416,0.24827553,-0.20471731,-0.22880052,0.44838881,0.27754503,0.101844355,-0.06526454,0.15557314,-0.15151572,-0.118547104,-0.23907885,0.45811364,-0.13214618,0.034774743,0.39662424,0.20080659,-0.31562957,0.12754072,-0.24625605,0.19072352,-0.7859715,-0.026161758,-0.30132565,0.26609167,-0.44975823,0.3136664,0.39999977,-0.30531004,0.17296523,-0.14139411,0.33059216,-0.18575248,0.10551719,0.4041807,-0.16192804,0.37320745,-0.22117275,-0.13902321,0.44689074,-0.0043286094,0.025307894,-0.27202687,-0.074446015,0.4506012,0.20913249,0.45168823,-0.031147258,0.12454659,-0.08855923,0.55278236,0.21465215,-0.0065658055,-0.03467093,0.4821013,-0.12470851,0.029675335,0.05437676,0.035923738,-0.044232108,-0.12735313,0.09820568,-0.26603556,-1.4583444e-05,0.041374944,0.13470969,0.16218562,-0.36353368,0.24355245,0.50329465,-0.1590057,-0.056162227,-0.07841988,-0.13425745,0.118687116,0.11424163,-0.16376884,0.25900558,0.409723,-0.21496512,0.4637219,0.277256,-0.42085046,0.47265282,0.17241384,-0.12672509,-0.09590211,-0.3542524,-0.22205064,0.3999983,-0.25190723,-0.5936065,-0.20297395,-0.41160074,0.23243888,-0.4286006,0.123427145,0.30837047,-0.263242,-0.13656454,-0.27549067,0.23196234,0.25994167,0.16746455,-0.15808238,0.12688416,0.034768235,0.18221924,0.5362876,-0.34547675,-0.27123737,-0.27984932,0.2540004,-0.00045851522,0.3855383,0.14034426,-0.2985095,-0.45030457,0.10605088,-0.06682203,-0.19317397,-0.29611394,0.07868123
1474,0.01789395,0.31008244,0.3847693,0.14061455,-0.06787691,-0.69254595,-0.070603825,-0.11170928,-0.11226143,0.527105,0.31103992,0.27771968,-0.13861124,0.19858062,-0.16959918,-0.010207585,-0.17228428,0.4558147,-0.12393052,0.2883803,0.162765,-0.021670163,-0.37471926,-0.051887043,-0.13629557,0.19426872,-0.77640283,0.0702844,-0.18777497,0.2809866,-0.4132002,0.18941891,0.30659676,-0.0685286,0.014182356,0.24599747,0.35009933,-0.3207003,-0.2570817,0.3414697,-0.20071663,0.17390202,-0.21802706,-0.18512388,0.5084,0.16808169,-0.14449595,-0.14512461,-0.07401881,0.3128509,0.3451958,0.41702917,-0.07503423,0.18778454,0.08049854,0.5620556,0.21506739,0.25837588,0.021952875,0.20879756,-0.2695601,0.35355228,0.14880946,-0.08421039,-0.08479578,0.053500783,0.12800701,-0.20441869,-0.11996528,-0.14332469,0.06726561,0.14762829,-0.19518453,0.15262397,0.5815548,-0.17791148,-0.11647182,-0.2590407,-0.048656136,0.03354517,0.0038886762,-0.20526153,0.3917992,0.5700223,-0.060408607,0.4887216,0.15866317,-0.4255433,0.55475575,0.3472894,0.009446602,-0.18924141,-0.34029424,-0.24498618,0.22398259,-0.23233065,-0.2783169,-0.2559565,-0.4082208,0.24034195,-0.33346573,0.25155708,0.4889806,-0.10531564,-0.3041515,-0.12011325,-0.058450498,0.40166396,-0.004618846,-0.08422314,0.019413864,0.18512395,-0.024593826,0.5201533,-0.36595154,-0.2846039,-0.2883792,0.2752846,-0.18598856,0.38653627,0.035487205,-0.36126384,-0.56176496,-0.18115759,-0.21997555,-0.14973517,-0.42013323,0.19807363
2110,0.07453146,-0.026520783,0.4765203,0.00077246374,0.19069576,-0.33346274,0.35781267,-0.24172819,-0.30443186,0.27942622,0.15903667,-0.04654072,-0.14744984,0.26948437,0.28877324,-0.14154615,-0.21656367,0.45820713,-0.10922915,0.19479048,0.33155984,0.1504676,-0.22671899,-0.11461316,-0.31493792,0.18056148,-0.7096816,0.10128197,-0.32804406,0.13421494,-0.09642835,0.25325772,0.45080933,-0.26486298,0.06746844,-0.1620015,0.51942426,0.1702992,0.15141758,0.18407165,-0.21891262,0.5692495,0.21521878,-0.18335705,0.51911074,-0.028724315,-0.0352224,-0.29937693,-0.14688194,0.1597981,0.17205234,0.29619908,0.3565787,0.2920268,0.002863146,0.73787093,0.1451,-0.1361271,-0.1750447,0.3565443,-0.08492749,-0.061515436,0.05364631,-0.0017397524,-0.0038476116,0.13971113,-0.09000207,-0.31365857,-0.18912734,-0.0017405981,0.12770578,-0.02766586,-0.33423775,0.17897157,0.21577469,-0.09720139,0.10611413,-0.0006616233,-0.14673965,0.27032387,0.3071461,-0.20692204,0.035584446,0.49659443,-0.43080997,0.18122761,0.24298097,-0.42500988,0.3765305,0.33574075,-0.27635568,-0.11393669,-0.11741584,-0.07188101,0.44604012,0.046147082,-0.60924727,-0.40826258,-0.30258417,0.001075322,-0.5335341,0.17214729,0.11626048,-0.17990111,-0.20663479,-0.17873017,0.55944824,0.25706473,0.028808309,-0.32527274,0.4343255,-0.1474433,0.13222389,0.38014084,-0.070419334,-0.27607635,0.06828498,0.3227229,0.0787905,0.3336927,0.12394453,-0.08284883,-0.30336297,0.31411096,-0.30795538,-0.2856506,-0.18794855,0.19913581
652,0.07179288,0.09778625,0.35944018,0.046170812,-0.11170654,-0.2421692,0.35435155,0.060552273,-0.035081215,0.4390184,0.22150452,0.030778969,0.10761583,-0.027070224,-0.08200293,0.036606476,-0.33096898,0.43819925,-0.23019266,0.050164085,0.26183498,-0.035320126,-0.42478102,-0.010006428,-0.038628496,-0.31227165,-0.64804167,-0.12772357,-0.2635953,0.3794497,-0.011439775,0.32380718,0.119848154,0.010194712,0.14615998,-0.010509175,0.24195427,0.05821521,0.023355773,0.19520734,-0.06890038,0.45297077,0.0007321535,-0.010206844,0.3656018,-0.087531075,-0.1677567,-0.21688071,-0.028856251,0.49360687,0.32440042,0.5511784,-0.04982315,0.06329669,-0.03388411,0.3980128,0.21369475,-0.25145578,0.32986608,-0.0106763225,0.02793652,0.35403487,-0.20295522,-0.29827458,0.22478841,-0.23392303,-0.25857443,-0.020481752,0.15291639,0.26383132,0.195839,0.033416238,-0.33515802,0.38271293,0.33193633,-0.13333172,0.14210144,0.048623588,-0.00664219,0.17987356,0.108391576,-0.14487204,0.38681388,0.36927518,-0.024960684,0.3060416,0.4289357,-0.2968493,0.44070768,0.31685677,-0.004326114,0.031101057,-0.28805006,0.1847024,0.34987193,-0.09696186,-0.40925857,-0.22422804,-0.43616515,0.5281493,-0.31593883,0.37169224,0.062401187,-0.4176702,-0.08972735,-0.1400801,0.1239906,0.20112844,0.1052748,-0.4196901,0.49518967,-0.12447158,-0.024640065,0.6651457,0.013833553,-0.32010517,-0.08968398,0.22270435,-0.009536431,0.24994902,-0.20277937,-0.6323239,-0.19369973,-0.09452864,-0.12849939,-0.15712135,-0.3556311,0.17859796
1350,0.15197693,0.40942532,0.35082743,0.039751403,-0.17050524,-0.33547702,0.31177527,-0.10329207,-0.08235616,0.43471023,0.31372592,0.0036631825,0.071095325,0.20644392,-0.1444787,-0.0655054,-0.37132367,0.47721905,-0.06407012,-0.077993244,0.33187237,-0.04703072,-0.34028745,0.0009891372,-0.2539405,0.08902027,-0.61108166,-0.02487089,-0.2738329,0.27456424,-0.2396195,0.22306995,0.31905168,-0.023240004,0.24001513,-0.123519555,0.29718706,-0.012104134,0.17493159,0.16687849,-0.021206915,0.35921547,-0.21026254,-0.128757,0.31150296,0.01917393,-0.0013768218,-0.25857264,-0.0032545782,0.54070115,0.34072718,0.52809817,-0.05194744,0.03650495,-0.01835977,0.51380235,0.11794976,-0.037036505,0.035502855,0.20399688,-0.27197382,0.2905728,-0.25128588,-0.0953455,0.13804847,-0.08244604,-0.112037055,-0.14759181,0.05429942,0.17891388,0.10956246,0.22587666,-0.2272039,0.38928106,0.39604977,-0.114715345,-0.049301818,0.040258043,-0.010887516,0.2159559,0.14998169,-0.18582821,0.19228424,0.37140465,-0.31979114,0.5313117,0.24224624,-0.39604625,0.51972663,0.17923398,-0.096702464,0.04766735,-0.32156327,-0.0873272,0.2541229,-0.15107177,-0.5721041,-0.21323188,-0.32138592,0.34895378,-0.38685638,0.29600513,0.21135785,-0.21586326,-0.27339444,-0.13419713,0.13485062,0.27253625,0.0898433,-0.24088083,0.23627797,0.053723913,0.17349741,0.5773145,-0.23419212,-0.3945032,-0.26434615,0.11568204,0.11933958,0.29376414,-0.060674608,-0.47535548,-0.25592563,-0.019669274,-0.082673036,-0.21218494,-0.3279861,0.16615595
